Date,Open,High,Low,Close,Volume,Adj Close,CloseNext,DailyReturn
2016-05-27,99.440002,100.470001,99.25,100.349998,36229500,100.349998,99.860001,-0.489997
2016-05-26,99.68,100.730003,98.639999,100.410004,56093400,100.410004,100.349998,-0.060006
2016-05-25,98.669998,99.739998,98.110001,99.620003,38168800,99.620003,100.410004,0.790001
2016-05-24,97.220001,98.089996,96.839996,97.900002,35036800,97.900002,99.620003,1.720001
2016-05-23,95.870003,97.190002,95.669998,96.43,37860500,96.43,97.900002,1.470002
2016-05-20,94.639999,95.43,94.519997,95.220001,31804600,95.220001,96.43,1.209999
2016-05-19,94.639999,94.639999,93.57,94.199997,30342700,94.199997,95.220001,1.020004
2016-05-18,94.160004,95.209999,93.889999,94.559998,41923100,94.559998,94.199997,-0.360001
2016-05-17,94.550003,94.699997,93.010002,93.489998,46507400,93.489998,94.559998,1.07
2016-05-16,92.389999,94.389999,91.650002,93.879997,61140600,93.879997,93.489998,-0.389999
2016-05-13,90,91.669998,90,90.519997,44188200,90.519997,93.879997,3.36
2016-05-12,92.720001,92.779999,89.470001,90.339996,76109800,90.339996,90.519997,0.180001
2016-05-11,93.480003,93.57,92.459999,92.510002,28539900,92.510002,90.339996,-2.170006
2016-05-10,93.330002,93.57,92.110001,93.419998,33592500,93.419998,92.510002,-0.909996
2016-05-09,93,93.769997,92.589996,92.790001,32855300,92.790001,93.419998,0.629997
2016-05-06,93.370003,93.449997,91.849998,92.720001,43458200,92.720001,92.790001,0.07
2016-05-05,94,94.07,92.68,93.239998,35890500,93.239998,92.720001,-0.519997
2016-05-04,95.199997,95.900002,93.82,94.190002,41025500,93.620002,93.239998,-0.950004
2016-05-03,94.199997,95.739998,93.68,95.18,56831300,94.604009,94.190002,-0.989998
2016-05-02,93.970001,94.080002,92.400002,93.639999,48160100,93.073328,95.18,1.540001
2016-04-29,93.989998,94.720001,92.510002,93.739998,68531500,93.172721,93.639999,-0.099999
2016-04-28,97.610001,97.879997,94.25,94.830002,82242700,94.256129,93.739998,-1.090004
2016-04-27,96,98.709999,95.68,97.82,114602100,97.228032,94.830002,-2.989998
2016-04-26,103.910004,105.300003,103.910004,104.349998,56016200,103.718514,97.82,-6.529998
2016-04-25,105,105.650002,104.510002,105.080002,28031600,104.4441,104.349998,-0.730004
2016-04-22,105.010002,106.480003,104.620003,105.68,33683100,105.040467,105.080002,-0.599998
2016-04-21,106.93,106.93,105.519997,105.970001,31552500,105.328713,105.68,-0.290001
2016-04-20,106.639999,108.089996,106.059998,107.129997,30611000,106.481689,105.970001,-1.159996
2016-04-19,107.879997,108,106.230003,106.910004,32384900,106.263027,107.129997,0.219993
2016-04-18,108.889999,108.949997,106.940002,107.480003,60821500,106.829577,106.910004,-0.569999
2016-04-15,112.110001,112.300003,109.730003,109.849998,46939000,109.18523,107.480003,-2.369995
2016-04-14,111.620003,112.389999,111.330002,112.099998,25473900,111.421614,109.849998,-2.25
2016-04-13,110.800003,112.339996,110.800003,112.040001,33257300,111.36198,112.099998,0.059997
2016-04-12,109.339996,110.5,108.660004,110.440002,27232300,109.771664,112.040001,1.599999
2016-04-11,108.970001,110.610001,108.830002,109.019997,29407500,108.360251,110.440002,1.420005
2016-04-08,108.910004,109.769997,108.169998,108.660004,23581700,108.002437,109.019997,0.359993
2016-04-07,109.949997,110.419998,108.120003,108.540001,31801900,107.88316,108.660004,0.120003
2016-04-06,110.230003,110.980003,109.199997,110.959999,26404100,110.288514,108.540001,-2.419998
2016-04-05,109.510002,110.730003,109.419998,109.809998,26578700,109.145471,110.959999,1.150001
2016-04-04,110.419998,112.190002,110.269997,111.120003,37356200,110.447549,109.809998,-1.310005
2016-04-01,108.779999,110,108.199997,109.989998,25874000,109.324382,111.120003,1.130005
2016-03-31,109.720001,109.900002,108.879997,108.989998,25888400,108.330434,109.989998,1
2016-03-30,108.650002,110.419998,108.599998,109.559998,45601100,108.896984,108.989998,-0.57
